////////////////////////////////////////////////////////////////////////
// Model: raphael // Raphael [OD]
// D8.5 Figure 3
////////////////////////////////////////////////////////////////////////

N2b79e3097e6e4638823baf062eeacd7f	crm:P2_has_type	aat:300379244  	     |type
aat:300025103	crm:P1i_identifies	artists (visual artists)    	    |name
N9905a14604e1413fa48e2b6bd4906f15	crm:P2_has_type	crm:E41_Appellation   	  |type
N2b79e3097e6e4638823baf062eeacd7f	crm:P82a_begin_of_the_begin	1483-01-01    	  |period
N2b79e3097e6e4638823baf062eeacd7f	crm:P1i_identifies	rro:RRR_1483    	    |period
ngo:VRGA-ZW28-95PS-6JTM	crm:P2_has_type	crm:E67_Birth   	    |type
N9905a14604e1413fa48e2b6bd4906f15	crm:P1i_identifies	Raffaello Sanzio     	   |name
aat:300069672	crm:P1i_identifies	births@en    		   |event
aat:300379244	crm:P1i_identifies	years@en     	   |timespan
N2b79e3097e6e4638823baf062eeacd7f	crm:P2_has_type	crm:E52_Time_span  	     |type
ngo:X49G-D5FL-LLD5-L23X	crm:P1_is_identified_by	N9905a14604e1413fa48e2b6bd4906f15  	     |name_bn
ngo:X49G-D5FL-LLD5-L23X	crm:P98i_was_born	ngo:VRGA-ZW28-95PS-6JTM  	   |event
ngo:VRGA-ZW28-95PS-6JTM	crm:P2_has_type	aat:300069672     	  |type
ngo:X49G-D5FL-LLD5-L23X	crm:P2_has_type	crm:E21_Person   	   |type
ngo:VRGA-ZW28-95PS-6JTM	crm:P4_has_time_span	N2b79e3097e6e4638823baf062eeacd7f     	  |period_bn
N2d05e8bc1e6849ffaeed5c8e16c826cd	crm:P2_has_type	crm:E41_Appellation  	   |type
N2d05e8bc1e6849ffaeed5c8e16c826cd	crm:P1i_identifies	Raphael   	  |literal
N2b79e3097e6e4638823baf062eeacd7f	crm:P82b_end_of_the_end	1483-12-31    	  |period
ngo:X49G-D5FL-LLD5-L23X	crm:P2_has_type	aat:300025103  	     |type
ngo:X49G-D5FL-LLD5-L23X	crm:P3_has_note	Italian painter, draughtsman and architect. He has always been acknowledged as one of the greatest European artists. With Leonardo da Vinci, Michelangelo and Titian, he was one of the most famous painters working in Italy in the period from 1500 to 1520, often identified as the High Renaissance, and in this period he was perhaps the most important figure.  	   |note
ngo:X49G-D5FL-LLD5-L23X	crm:P1_is_identified_by	N2d05e8bc1e6849ffaeed5c8e16c826cd  	     |name_bn
N90be303066cc4726b892d9791c151a09	crm:P82b_end_of_the_end	1520-12-31   	   |period
N90be303066cc4726b892d9791c151a09	crm:P1i_identifies	rro:RRR_1520    	    |period
ngo:JZ6Q-2KJ4-ADE6-E9WE	crm:P4_has_time_span	N90be303066cc4726b892d9791c151a09    	   |period_bn
ngo:X49G-D5FL-LLD5-L23X	crm:P100i_died_in	ngo:JZ6Q-2KJ4-ADE6-E9WE   	  |event
aat:300379244	crm:P1i_identifies	years@en    	    |timespan
N90be303066cc4726b892d9791c151a09	crm:P82a_begin_of_the_begin	1520-01-01   	   |period
ngo:JZ6Q-2KJ4-ADE6-E9WE	crm:P2_has_type	aat:300151836    	   |type
N90be303066cc4726b892d9791c151a09	crm:P2_has_type	crm:E52_Time_span   	    |type
N90be303066cc4726b892d9791c151a09	crm:P2_has_type	aat:300379244    	   |type
aat:300151836	crm:P1i_identifies	deaths@en    	   |event
ngo:JZ6Q-2KJ4-ADE6-E9WE	crm:P2_has_type	crm:E69_Death    	   |type
